pathway,Taxonomy,gene
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A174AKU3
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A174V2R7
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A174V325
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A174LHK8
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q8A9S7
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_U2CFH9
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q5LAX0
1CMET2-PWY,g__Blautia.s__Blautia_wexlerae,
1CMET2-PWY,g__Blautia.s__Blautia_wexlerae,UniRef90_A0A174V5E8
1CMET2-PWY,g__Blautia.s__Blautia_wexlerae,UniRef90_A0A174VMU6
1CMET2-PWY,g__Blautia.s__Blautia_wexlerae,UniRef90_A0A174AKU3
1CMET2-PWY,g__Blautia.s__Blautia_wexlerae,UniRef90_A0A174V2R7
1CMET2-PWY,g__Blautia.s__Blautia_wexlerae,UniRef90_A0A174V325
1CMET2-PWY,g__Blautia.s__Blautia_wexlerae,UniRef90_A0A174LHK8
1CMET2-PWY,g__Blautia.s__Blautia_wexlerae,UniRef90_Q8A9S7
1CMET2-PWY,g__Blautia.s__Blautia_wexlerae,UniRef90_U2CFH9
1CMET2-PWY,g__Blautia.s__Blautia_wexlerae,UniRef90_Q5LAX0
1CMET2-PWY,g__Parabacteroides.s__Parabacteroides_merdae,
1CMET2-PWY,g__Parabacteroides.s__Parabacteroides_merdae,UniRef90_A0A174V5E8
1CMET2-PWY,g__Parabacteroides.s__Parabacteroides_merdae,UniRef90_A0A174VMU6
1CMET2-PWY,g__Parabacteroides.s__Parabacteroides_merdae,UniRef90_A0A174AKU3
1CMET2-PWY,g__Parabacteroides.s__Parabacteroides_merdae,UniRef90_A0A174V2R7
1CMET2-PWY,g__Parabacteroides.s__Parabacteroides_merdae,UniRef90_A0A174V325
1CMET2-PWY,g__Parabacteroides.s__Parabacteroides_merdae,UniRef90_A0A174LHK8
1CMET2-PWY,g__Parabacteroides.s__Parabacteroides_merdae,UniRef90_Q8A9S7
1CMET2-PWY,g__Parabacteroides.s__Parabacteroides_merdae,UniRef90_U2CFH9
1CMET2-PWY,g__Parabacteroides.s__Parabacteroides_merdae,UniRef90_Q5LAX0
1CMET2-PWY,g__Eubacterium.s__Eubacterium_sp_CAG_251,
1CMET2-PWY,g__Eubacterium.s__Eubacterium_sp_CAG_251,UniRef90_A0A174V5E8
1CMET2-PWY,g__Eubacterium.s__Eubacterium_sp_CAG_251,UniRef90_A0A174VMU6
1CMET2-PWY,g__Eubacterium.s__Eubacterium_sp_CAG_251,UniRef90_A0A174AKU3
1CMET2-PWY,g__Eubacterium.s__Eubacterium_sp_CAG_251,UniRef90_A0A174V2R7
1CMET2-PWY,g__Eubacterium.s__Eubacterium_sp_CAG_251,UniRef90_A0A174V325
1CMET2-PWY,g__Eubacterium.s__Eubacterium_sp_CAG_251,UniRef90_A0A174LHK8
1CMET2-PWY,g__Eubacterium.s__Eubacterium_sp_CAG_251,UniRef90_Q8A9S7
