original_name,cleaned_name
PWY-6859: all-trans-farnesol biosynthesis,PWY-6859
PWY-5676: acetyl-CoA fermentation to butanoate II,PWY-5676
NAD-BIOSYNTHESIS-II: NAD salvage pathway II,NAD-BIOSYNTHESIS-II
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation,PWY-6507
PPGPPMET-PWY: ppGpp biosynthesis,PPGPPMET-PWY
PWY-7242: D-fructuronate degradation,PWY-7242
PWY-5690: TCA cycle II (plants and fungi),PWY-5690
PWY0-1479: tRNA processing,PWY0-1479
PWY-7003: glycerol degradation to butanol,PWY-7003
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,PWY0-845
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",P461-PWY
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",ARGORNPROST-PWY
P108-PWY: pyruvate fermentation to propanoate I,P108-PWY
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,FUC-RHAMCAT-PWY
NAGLIPASYN-PWY: lipid IVA biosynthesis,NAGLIPASYN-PWY
RUMP-PWY: formaldehyde oxidation I,RUMP-PWY
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation,PWY-6590
PWY-7209: superpathway of pyrimidine ribonucleosides degradation,PWY-7209
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I,PYRIDOXSYN-PWY
CENTFERM-PWY: pyruvate fermentation to butanoate,CENTFERM-PWY
"PWY-7013: L-1,2-propanediol degradation",PWY-7013
PWY-6588: pyruvate fermentation to acetone,PWY-6588
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),P185-PWY
PWY-6891: thiazole biosynthesis II (Bacillus),PWY-6891
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,PWY0-1297
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),PWY-6969
FUCCAT-PWY: fucose degradation,FUCCAT-PWY
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",GOLPDLCAT-PWY
PWY-5005: biotin biosynthesis II,PWY-5005
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,PWY0-1298
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),PWY4LZ-257
GLUDEG-I-PWY: GABA shunt,GLUDEG-I-PWY
PWY-5022: 4-aminobutanoate degradation V,PWY-5022
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),PWY-5304
P161-PWY: acetylene degradation,P161-PWY
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,FOLSYN-PWY
PWY-5173: superpathway of acetyl-CoA biosynthesis,PWY-5173
HEMESYN2-PWY: heme biosynthesis II (anaerobic),HEMESYN2-PWY
FAO-PWY: fatty acid &beta;-oxidation I,FAO-PWY
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PWY-5910
PWY-7315: dTDP-N-acetylthomosamine biosynthesis,PWY-7315
