pathway,Taxonomy,gene
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_A0A139JXD7
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_A0A076INA9
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_Q8A9S7
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_Q5LAX0
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_D1JYI7
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_B3JMT5
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_A0A076J5W7
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_A0A173WIK6
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_A6L1Q8
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_R6JJ34
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_Q8A639
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_C4Z4B0
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_A0A0P0LI34
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_A0A139JXD7
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_A0A076INA9
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_Q8A9S7
1CMET2-PWY,g__Klebsiella.s__Klebsiella_variicola,UniRef90_Q5LAX0
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_D1JYI7
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_B3JMT5
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_A0A076J5W7
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_A0A173WIK6
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_A6L1Q8
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_R6JJ34
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_Q8A639
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_C4Z4B0
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_A0A0P0LI34
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_A0A139JXD7
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_A0A076INA9
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_Q8A9S7
1CMET2-PWY,g__Haemophilus.s__Haemophilus_parainfluenzae,UniRef90_Q5LAX0
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_D1JYI7
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_B3JMT5
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_A0A076J5W7
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_A0A173WIK6
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_A6L1Q8
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_R6JJ34
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_Q8A639
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_C4Z4B0
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_A0A0P0LI34
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_A0A139JXD7
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_A0A076INA9
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_Q8A9S7
1CMET2-PWY,g__Haemophilus.s__Haemophilus_paraphrohaemolyticus,UniRef90_Q5LAX0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,,
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,g__Klebsiella.s__Klebsiella_pneumoniae,
ANAEROFRUCAT-PWY: homolactic fermentation,,
ANAEROFRUCAT-PWY,unclassified,
ANAEROFRUCAT-PWY,unclassified,UniRef90_A0A0P0LLB5
ANAEROFRUCAT-PWY,unclassified,UniRef90_A0A0P0LFD2
