original_name,cleaned_name
PWY66-367: ketogenesis,PWY66-367
PWY-5189: tetrapyrrole biosynthesis II (from glycine),PWY-5189
PWY-6803: phosphatidylcholine acyl editing,PWY-6803
PWY-2723: trehalose degradation V,PWY-2723
PWY3DJ-35471: L-ascorbate biosynthesis IV,PWY3DJ-35471
PWY-5675: nitrate reduction V (assimilatory),PWY-5675
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",ARGDEG-PWY
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation,ORNARGDEG-PWY
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate,PROPFERM-PWY
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,PWY0-1277
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",PWY-7385
PWY-2221: Entner-Doudoroff pathway III (semi-phosphorylative),PWY-2221
REDCITCYC: TCA cycle VIII (helicobacter),REDCITCYC
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast),PWY-7269
AST-PWY: L-arginine degradation II (AST pathway),AST-PWY
THREOCAT-PWY: superpathway of L-threonine metabolism,THREOCAT-PWY
PWY-5088: L-glutamate degradation VIII (to propanoate),PWY-5088
PWY-7046: 4-coumarate degradation (anaerobic),PWY-7046
P23-PWY: reductive TCA cycle I,P23-PWY
PWY3O-355: stearate biosynthesis III (fungi),PWY3O-355
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",ARGORNPROST-PWY
ECASYN-PWY: enterobacterial common antigen biosynthesis,ECASYN-PWY
P163-PWY: L-lysine fermentation to acetate and butanoate,P163-PWY
PWY-7616: methanol oxidation to carbon dioxide,PWY-7616
PWY-6263: superpathway of menaquinol-8 biosynthesis II,PWY-6263
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY
PWY-5747: 2-methylcitrate cycle II,PWY-5747
PWY-5392: reductive TCA cycle II,PWY-5392
PWY-5181: toluene degradation III (aerobic) (via p-cresol),PWY-5181
P221-PWY: octane oxidation,P221-PWY
URSIN-PWY: ureide biosynthesis,URSIN-PWY
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis,KDO-NAGLIPASYN-PWY
PWY-7209: superpathway of pyrimidine ribonucleosides degradation,PWY-7209
PWY490-3: nitrate reduction VI (assimilatory),PWY490-3
PWY-5417: catechol degradation III (ortho-cleavage pathway),PWY-5417
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate,PWY-5431
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative),DHGLUCONATE-PYR-CAT-PWY
AEROBACTINSYN-PWY: aerobactin biosynthesis,AEROBACTINSYN-PWY
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,HCAMHPDEG-PWY
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,PWY-6690
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,ALLANTOINDEG-PWY
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic),UBISYN-PWY
PWY-6182: superpathway of salicylate degradation,PWY-6182
PWY-6185: 4-methylcatechol degradation (ortho cleavage),PWY-6185
P122-PWY: heterolactic fermentation,P122-PWY
PWY66-388: fatty acid &alpha;-oxidation III,PWY66-388
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate,CATECHOL-ORTHO-CLEAVAGE-PWY
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic),PWY-5855
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic),PWY-5856
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic),PWY-5857
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic),PWY-6708
P562-PWY: myo-inositol degradation I,P562-PWY
"PWY-6837: fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",PWY-6837
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",P125-PWY
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate,PWY-5654
PWY-6210: 2-aminophenol degradation,PWY-6210
PYRIDNUCSAL-PWY: NAD salvage pathway I,PYRIDNUCSAL-PWY
ENTBACSYN-PWY: enterobactin biosynthesis,ENTBACSYN-PWY
PWY-4702: phytate degradation I,PWY-4702
KETOGLUCONMET-PWY: ketogluconate metabolism,KETOGLUCONMET-PWY
PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis,PWY-7312
PWY-5656: mannosylglycerate biosynthesis I,PWY-5656
PWY-7094: fatty acid salvage,PWY-7094
PWY-7204: pyridoxal 5'-phosphate salvage II (plants),PWY-7204
PWY0-42: 2-methylcitrate cycle I,PWY0-42
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",PWY-7371
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis,LPSSYN-PWY
PWY0-1533: methylphosphonate degradation I,PWY0-1533
PWY-7294: xylose degradation IV,PWY-7294
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage,PWY-7200
PWY-5705: allantoin degradation to glyoxylate III,PWY-5705
