pathway,Taxonomy,gene
1CMET2-PWY,g__Bacteroides.s__Bacteroides_clarus,UniRef90_A0A173WIK6
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A6L1Q8
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A076INA9
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_Q8A639
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_Q5LAX0
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_Q8A9S7
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A076J5W7
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A173WIK6
ANAEROFRUCAT-PWY: homolactic fermentation,,
ANAEROFRUCAT-PWY,unclassified,
ANAEROFRUCAT-PWY,unclassified,UniRef90_A0A0P0LPD3
ANAEROFRUCAT-PWY,unclassified,UniRef90_A6L7P7
ANAEROFRUCAT-PWY,unclassified,UniRef90_A0A076J0D7
ANAEROFRUCAT-PWY,unclassified,UniRef90_A8SSF3
ANAEROFRUCAT-PWY,unclassified,UniRef90_R6LH10
ANAEROFRUCAT-PWY,unclassified,UniRef90_C4Z1M9
ANAEROFRUCAT-PWY,unclassified,UniRef90_A0A0P0LLB5
ANAEROFRUCAT-PWY,unclassified,UniRef90_Q8A8R2
ANAEROFRUCAT-PWY,unclassified,UniRef90_Q8A2E9
ANAEROFRUCAT-PWY,unclassified,UniRef90_A6L050
ANAEROFRUCAT-PWY,unclassified,UniRef90_A6L3M9
ANAEROFRUCAT-PWY,unclassified,UniRef90_A0A3E4SK17
ANAEROFRUCAT-PWY,unclassified,UniRef90_Q8A624
ANAEROFRUCAT-PWY,unclassified,UniRef90_R5CDC3
ANAEROFRUCAT-PWY,unclassified,UniRef90_A0A076J0M3
ANAEROFRUCAT-PWY,unclassified,UniRef90_R6YPH4
ANAEROFRUCAT-PWY,unclassified,UniRef90_D4V4U7
ANAEROFRUCAT-PWY,unclassified,UniRef90_Q5L923
ANAEROFRUCAT-PWY,unclassified,UniRef90_Q5L9E3
ANAEROFRUCAT-PWY,unclassified,UniRef90_R5CHH0
ANAEROFRUCAT-PWY,unclassified,UniRef90_A6KXL2
ANAEROFRUCAT-PWY,unclassified,UniRef90_D1PFW5
ANAEROFRUCAT-PWY,unclassified,UniRef90_Q8A8R5
ANAEROFRUCAT-PWY,unclassified,UniRef90_R7N2R9
ANAEROFRUCAT-PWY,unclassified,UniRef90_D1PGM2
ANAEROFRUCAT-PWY,unclassified,UniRef90_A0A076IRH5
ANAEROFRUCAT-PWY,unclassified,UniRef90_R5CP60
ANAEROFRUCAT-PWY,unclassified,UniRef90_A0A0P0LFD2
ANAEROFRUCAT-PWY,unclassified,UniRef90_R6YRU1
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),,
ANAGLYCOLYSIS-PWY,unclassified,
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A0A0P0LPD3
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A6L7P7
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A0A076J0D7
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A8SSF3
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_C4Z1M9
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A0A0P0LLB5
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_Q8A8R2
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_Q8A2E9
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A6L050
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A6L3M9
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A0A3E4SK17
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_Q8A624
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_R5CDC3
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A0A076J0M3
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_R6YPH4
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_D4V4U7
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_Q5L923
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_Q5L9E3
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_R5CHH0
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A6KXL2
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_D1PFW5
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_Q8A8R5
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_D1PGM2
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A0A076IRH5
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_R5CP60
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_A0A0P0LFD2
ANAGLYCOLYSIS-PWY,unclassified,UniRef90_R6YRU1
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A0P0LPD3
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A6L7P7
ANAGLYCOLYSIS-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A076J0D7
